0,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
0,100
10,100
20,100
30,100
40,100
50,100
60,100
70,100
80,100
90,100
100,100
110,100
120,100
130,100
140,100
150,100
160,100
170,100
180,100
190,100
200,100
210,100
220,100
230,100
240,100
250,100
260,100
270,100
280,100
290,100
300,100
310,100
320,100
330,100
340,100
350,100
360,100
370,100
380,100
390,100
400,100
410,100
420,100
430,100
440,100
450,100
0,200
10,200
20,200
30,200
40,200
50,200
60,200
70,200
80,200
90,200
100,200
110,200
120,200
130,200
140,200
150,200
160,200
170,200
180,200
190,200
200,200
210,200
220,200
230,200
240,200
250,200
260,200
270,200
280,200
290,200
300,200
310,200
320,200
330,200
340,200
350,200
360,200
370,200
380,200
390,200
400,200
410,200
420,200
430,200
440,200
450,200
0,300
10,300
20,300
30,300
40,300
50,300
60,300
70,300
80,300
90,300
100,300
110,300
120,300
130,300
140,300
150,300
160,300
170,300
180,300
190,300
200,300
210,300
220,300
230,300
240,300
250,300
260,300
270,300
280,300
290,300
300,300
310,300
320,300
330,300
340,300
350,300
360,300
370,300
380,300
390,300
400,300
410,300
420,300
430,300
440,300
450,300
0,400
10,400
20,400
30,400
40,400
50,400
60,400
70,400
80,400
90,400
100,400
110,400
120,400
130,400
140,400
150,400
160,400
170,400
180,400
190,400
200,400
210,400
220,400
230,400
240,400
250,400
260,400
270,400
280,400
290,400
300,400
310,400
320,400
330,400
340,400
350,400
360,400
370,400
380,400
390,400
400,400
410,400
420,400
430,400
440,400
450,400
0,500
10,500
20,500
30,500
40,500
50,500
60,500
70,500
80,500
90,500
100,500
110,500
120,500
130,500
140,500
150,500
160,500
170,500
180,500
190,500
200,500
210,500
220,500
230,500
240,500
250,500
260,500
270,500
280,500
290,500
300,500
310,500
320,500
330,500
340,500
350,500
360,500
370,500
380,500
390,500
400,500
410,500
420,500
430,500
440,500
450,500
0,600
10,600
20,600
30,600
40,600
50,600
60,600
70,600
80,600
90,600
100,600
110,600
120,600
130,600
140,600
150,600
160,600
170,600
180,600
190,600
200,600
210,600
220,600
230,600
240,600
250,600
260,600
270,600
280,600
290,600
300,600
310,600
320,600
330,600
340,600
350,600
360,600
370,600
380,600
390,600
400,600
410,600
420,600
430,600
440,600
450,600
0,700
10,700
20,700
30,700
40,700
50,700
60,700
70,700
80,700
90,700
100,700
110,700
120,700
130,700
140,700
150,700
160,700
170,700
180,700
190,700
200,700
210,700
220,700
230,700
240,700
250,700
260,700
270,700
280,700
290,700
300,700
310,700
320,700
330,700
340,700
350,700
360,700
370,700
380,700
390,700
400,700
410,700
420,700
430,700
440,700
450,700
0,800
10,800
20,800
30,800
40,800
50,800
60,800
70,800
80,800
90,800
100,800
110,800
120,800
130,800
140,800
150,800
160,800
170,800
180,800
190,800
200,800
210,800
220,800
230,800
240,800
250,800
260,800
270,800
280,800
290,800
300,800
310,800
320,800
330,800
340,800
350,800
360,800
370,800
380,800
390,800
400,800
410,800
420,800
430,800
440,800
450,800
0,900
10,900
20,900
30,900
40,900
50,900
60,900
70,900
80,900
90,900
100,900
110,900
120,900
130,900
140,900
150,900
160,900
170,900
180,900
190,900
200,900
210,900
220,900
230,900
240,900
